"codigo","fluviosidade","dia","nome"
"123","0,08","2017-05-03","RIO PASSAUNA"
"124","0,08","2017-05-04","RIO PASSAUNA"
"125","0,08","2017-05-05","RIO PASSAUNA"
"126","0,08","2017-05-06","RIO PASSAUNA"
"127","0,08","2017-05-07","RIO PASSAUNA"
"128","0,08","2017-05-08","RIO PASSAUNA"
"129","0,08","2017-05-09","RIO PASSAUNA"
"130","0,08","2017-05-10","RIO PASSAUNA"
"131","0,08","2017-05-11","RIO PASSAUNA"
"132","0,08","2017-05-12","RIO PASSAUNA"
"133","0,08","2017-05-13","RIO PASSAUNA"
